GPSWeek,GPSTime,imu_lon,imu_lat,headingAngle,x,y,v,cmd_steering,cmd_v,imu_gps_state,imu_altitude,imu_satellite_num,imu_warning
2169.0,181938.73,116.34979646,40.00561844,178.79,444503.16095513734,4428583.249560967,0.009,0,0,42.0,39.83,13.0,2.0
2169.0,181938.75,116.34979647,40.00561844,178.79,444503.1618086736,4428583.24955474,0.009,0,0,42.0,39.83,13.0,2.0
2169.0,181939.26,116.34979655,40.0056183,178.79,444503.1685236,4428583.233966101,0.016,0,0,42.0,39.83,14.0,2.0
2169.0,181939.77,116.34979657,40.00561821,178.79,444503.17015779665,4428583.223964405,0.02,0,0,42.0,39.83,14.0,2.0
2169.0,181940.28,116.3497966,40.00561814,178.79,444503.17266172473,4428583.216176312,0.022,0,0,42.0,39.83,16.0,2.0
2169.0,181940.79,116.34979664,40.00561792,178.82,444503.17589772353,4428583.191733258,0.104,0,0,42.0,39.83,16.0,2.0
2169.0,181941.3,116.3497967,40.00561709,179.07,444503.1803468488,4428583.099572881,0.288,0,0,42.0,39.84,16.0,2.0
2169.0,181941.81,116.34979677,40.00561551,179.58,444503.18504219217,4428582.92416259,0.403,0,0,42.0,39.84,14.0,2.0
2169.0,181942.32,116.34979678,40.00561352,180.2,444503.1842843186,4428582.7032831125,0.474,0,0,42.0,39.84,17.0,2.0
2169.0,181942.83,116.34979674,40.00561142,179.76,444503.17916968616,4428582.470225699,0.467,0,0,42.0,39.84,16.0,2.0
2169.0,181943.34,116.34979672,40.00560916,179.25,444503.17563256563,4428582.219397175,0.588,0,0,42.0,39.84,15.0,2.0
2169.0,181943.84,116.34979677,40.00560643,178.52,444503.1776896193,4428581.916359021,0.689,0,0,42.0,39.83,15.0,2.0
2169.0,181944.35,116.34979687,40.00560319,177.58,444503.1836013852,4428581.556684024,0.768,0,0,42.0,39.83,14.0,2.0
2169.0,181944.86,116.34979697,40.00559972,176.61,444503.1893269042,4428581.171480961,0.762,0,0,42.0,39.83,14.0,2.0
2169.0,181945.37,116.34979735,40.00559634,175.91,444503.2190243397,4428580.796092783,0.737,0,0,42.0,39.83,15.0,2.0
2169.0,181945.88,116.34979749,40.00559286,174.93,444503.22815591504,4428580.409754898,0.784,0,0,42.0,39.83,14.0,2.0
2169.0,181946.41,116.3497979,40.00558894,173.96,444503.2599767018,4428579.974412587,0.87,0,0,42.0,39.83,16.0,2.0
2169.0,181946.92,116.34979842,40.00558501,173.18,444503.30117830273,4428579.537891858,0.884,0,0,42.0,39.83,13.0,2.0
2169.0,181947.43,116.34979896,40.0055811,172.87,444503.3441031774,4428579.103578513,0.892,0,0,42.0,39.83,15.0,2.0
2169.0,181947.94,116.34979963,40.00557714,175.59,444503.3980835545,4428578.663634633,0.864,0,0,42.0,39.82,13.0,2.0
2169.0,181948.45,116.34980004,40.00557331,178.67,444503.4299772382,4428578.238281565,0.843,0,0,42.0,39.81,12.0,2.0
2169.0,181948.95,116.3498001,40.00556951,178.67,444503.43202141154,4428577.816476192,0.877,0,0,42.0,39.81,12.0,2.0
2169.0,181949.46,116.3498002,40.00556558,178.53,444503.4373744681,4428577.380217006,0.847,0,0,42.0,39.8,17.0,2.0
2169.0,181949.97,116.34980033,40.00556169,178.34,444503.4453205266,4428576.948378801,0.839,0,0,42.0,39.8,15.0,2.0
2169.0,181950.48,116.34980042,40.00555779,178.15,444503.44984434114,4428576.515455589,0.844,0,0,42.0,39.8,15.0,2.0
2169.0,181950.98,116.34980057,40.00555398,178.11,444503.4595622587,4428576.092484259,0.838,0,0,42.0,39.79,12.0,2.0
2169.0,181951.49,116.34980078,40.00555019,176.44,444503.47441759973,4428575.671695396,0.821,0,0,42.0,39.78,15.0,2.0
2169.0,181952.0,116.34980116,40.00554646,175.15,444503.50383166573,4428575.257460168,0.828,0,0,42.0,39.78,13.0,2.0
2169.0,181952.51,116.34980157,40.00554266,176.68,444503.53574966465,4428574.835436853,0.814,0,0,42.0,39.77,15.0,2.0
2169.0,181953.02,116.34980188,40.00553884,178.22,444503.5591160983,4428574.411255974,0.808,0,0,42.0,39.77,14.0,2.0
2169.0,181953.52,116.34980201,40.00553512,179.11,444503.5671998302,4428573.998286339,0.813,0,0,42.0,39.77,14.0,2.0
2169.0,181954.03,116.34980209,40.00553128,177.39,444503.5709187029,4428573.572028853,0.824,0,0,42.0,39.77,14.0,2.0
2169.0,181954.54,116.34980239,40.0055274,175.85,444503.5933830199,4428573.141194707,0.828,0,0,42.0,39.77,14.0,2.0
2169.0,181955.05,116.34980269,40.0055234,175.76,444503.6157501727,4428572.697041571,0.852,0,0,42.0,39.77,13.0,2.0
2169.0,181955.56,116.34980299,40.00551931,175.9,444503.63804444944,4428572.242899194,0.879,0,0,42.0,39.78,13.0,2.0
2169.0,181956.07,116.3498034,40.00551526,175.99,444503.66976003646,4428571.793127985,0.863,0,0,42.0,39.78,11.0,2.0
2169.0,181956.58,116.34980365,40.00551128,173.87,444503.68787570443,4428571.3512258185,0.847,0,0,42.0,39.78,14.0,2.0
2169.0,181957.09,116.34980414,40.00550733,171.72,444503.72650057916,4428570.912503952,0.854,0,0,42.0,39.79,14.0,2.0
2169.0,181957.59,116.34980491,40.00550348,171.77,444503.78910550097,4428570.484706887,0.858,0,0,42.0,39.8,14.0,2.0
2169.0,181958.1,116.34980562,40.00549949,172.65,444503.8464758381,4428570.041408362,0.87,0,0,42.0,39.8,13.0,2.0
2169.0,181958.61,116.34980629,40.00549545,173.58,444503.9003915423,4428569.592585167,0.877,0,0,42.0,39.81,15.0,2.0
2169.0,181959.12,116.3498069,40.00549133,174.44,444503.9491212452,4428569.13492001,0.855,0,0,42.0,39.82,16.0,2.0
2169.0,181959.63,116.34980741,40.00548729,175.41,444503.9893803486,4428568.686196448,0.912,0,0,42.0,39.82,14.0,2.0
2169.0,181960.14,116.34980779,40.00548292,176.09,444504.01827624626,4428568.20092662,0.95,0,0,42.0,39.83,14.0,2.0
2169.0,181960.65,116.34980817,40.00547848,175.41,444504.0471154667,4428567.7078873785,0.969,0,0,42.0,39.83,14.0,2.0
2169.0,181961.15,116.34980853,40.0054741,176.15,444504.07429619983,4428567.221520087,0.945,0,0,42.0,39.82,14.0,2.0
2169.0,181961.66,116.34980884,40.0054697,177.87,444504.0971930477,4428566.732964098,0.942,0,0,42.0,39.82,16.0,2.0
2169.0,181962.17,116.34980893,40.00546537,178.98,444504.1013687331,4428566.252314516,0.926,0,0,42.0,39.81,15.0,2.0
2169.0,181962.68,116.34980894,40.00546099,178.43,444504.09867562295,4428565.766165168,0.945,0,0,42.0,39.81,15.0,2.0
2169.0,181963.19,116.34980901,40.00545658,177.97,444504.1010794529,4428565.276648715,0.973,0,0,42.0,39.81,15.0,2.0
2169.0,181963.7,116.34980921,40.0054522,177.49,444504.11460358265,4428564.790381056,0.959,0,0,42.0,39.81,12.0,2.0
2169.0,181964.21,116.34980948,40.00544788,174.68,444504.13415106764,4428564.310729304,0.95,0,0,42.0,39.8,12.0,2.0
2169.0,181964.72,116.34981003,40.00544355,173.44,444504.17758954933,4428563.829793284,0.965,0,0,42.0,39.79,13.0,2.0
2169.0,181965.22,116.34981059,40.00543941,174.13,444504.2220354231,4428563.369939436,0.924,0,0,42.0,39.78,16.0,2.0
2169.0,181965.73,116.3498111,40.00543512,174.77,444504.2620921503,4428562.893467987,0.957,0,0,42.0,39.77,15.0,2.0
2169.0,181966.24,116.3498116,40.00543086,175.73,444504.3013196344,4428562.42033251,0.932,0,0,42.0,39.76,16.0,2.0
2169.0,181966.75,116.3498119,40.00542665,179.52,444504.32351683185,4428561.952871155,0.925,0,0,42.0,39.75,15.0,2.0
2169.0,181967.26,116.34981179,40.00542237,182.39,444504.3106622461,4428561.477895695,0.929,0,0,42.0,39.74,16.0,2.0
2169.0,181967.77,116.34981151,40.00541807,183.34,444504.28328129544,4428561.000806259,0.929,0,0,42.0,39.73,16.0,2.0
2169.0,181968.28,116.34981124,40.00541375,181.89,444504.25673769065,4428560.521490767,0.941,0,0,42.0,39.72,18.0,2.0
2169.0,181968.79,116.34981116,40.00540942,180.2,444504.24640323035,4428560.040947045,0.944,0,0,42.0,39.72,16.0,2.0
2169.0,181969.3,116.34981123,40.00540509,178.42,444504.2488718616,4428559.560309922,0.922,0,0,42.0,39.71,16.0,2.0
2169.0,181969.81,116.3498114,40.00540078,177.55,444504.25989208027,4428559.081830361,0.918,0,0,42.0,39.7,16.0,2.0
2169.0,181970.32,116.34981162,40.00539643,177.26,444504.27514761116,4428558.598880001,0.945,0,0,42.0,39.7,16.0,2.0
2169.0,181970.83,116.34981189,40.00539208,176.92,444504.2946708399,4428558.115898508,0.941,0,0,42.0,39.69,15.0,2.0
2169.0,181971.34,116.34981218,40.00538771,176.68,444504.31588495994,4428557.630684729,0.951,0,0,42.0,39.69,17.0,2.0
2169.0,181971.85,116.34981253,40.00538336,176.4,444504.34223651304,4428557.147653422,0.941,0,0,42.0,39.68,15.0,2.0
